10,12.285,12.198,12.664,12.646,14.515,14.587,25.299,20.108
30,14.989,14.763,14.716,14.632,20.210,20.436,28.269,25.839
50,18.126,17.802,16.904,16.804,27.138,25.345,31.537,29.778
80,22.505,22.027,21.054,21.027,36.106,33.666,45.799,45.470
200,36.665,35.474,33.452,32.491,66.905,62.239,79.147,74.751
1000,122.735,116.348,107.828,100.382,230.335,237.690,310.602,312.983
2000,289.251,276.082,268.095,248.046,592.305,516.738,713.806,719.634
5000,682.386,658.228,582.805,559.143,1455.744,1495.191,2216.044,2271.351
10000,1484.326,1432.398,1335.518,1281.104,2678.097,2802.614,3929.296,3877.084
30000,3281.732,3168.841,3028.911,2988.299,5781.088,5735.712,6403.440,6191.603
