10,12.285,12.200,12.664,12.658,14.515,14.555,25.299,19.412
30,14.989,14.773,14.716,14.640,20.210,20.106,28.269,25.859
50,18.126,17.724,16.904,16.617,27.138,25.239,31.537,28.798
80,22.505,21.939,21.054,20.775,36.106,33.697,45.799,43.980
200,36.665,35.694,33.452,32.876,66.905,62.119,79.147,74.093
1000,122.735,116.927,107.828,101.280,230.335,238.308,310.602,326.351
2000,289.251,273.683,268.095,251.102,592.305,515.628,713.806,706.589
5000,682.386,661.731,582.805,556.985,1455.744,1508.640,2216.044,2173.636
10000,1484.326,1424.898,1335.518,1262.046,2678.097,2648.214,3929.296,3688.546
30000,3281.732,3175.430,3028.911,3033.424,5781.088,5658.561,6403.440,6219.791
