10,64.066,17.472,12.833,12.718,164.878,41.436,1400.812,143.875
30,65.412,19.875,14.824,14.716,216.974,53.911,1609.258,125.436
50,78.878,23.374,17.207,16.796,336.746,64.414,1558.054,124.898
80,102.137,27.124,22.230,20.473,243.436,74.026,2291.187,108.676
200,150.943,42.337,35.549,32.315,878.972,110.418,2197.053,153.816
1000,295.539,108.908,99.313,91.722,1313.483,218.832,4585.420,357.978
2000,722.172,257.289,239.632,208.134,4150.012,658.464,7100.318,1011.318
5000,2175.304,739.288,639.652,507.448,10924.787,1829.073,15501.082,2364.413
10000,3685.496,1754.898,2051.316,1612.145,11219.850,3581.107,16254.224,4366.510
30000,6845.957,3724.674,5143.458,3651.974,16373.619,5947.757,38526.306,6943.427
