10,17.413,16.142,12.844,12.725,51.002,45.723,76.218,64.664
30,18.836,18.156,14.792,14.717,43.965,40.894,77.340,72.473
50,22.455,21.656,17.892,17.451,53.516,51.626,78.547,75.154
80,27.781,25.298,21.945,20.804,63.162,54.042,102.097,76.681
200,41.332,37.456,31.601,31.365,88.865,75.363,105.824,91.116
1000,137.925,123.798,100.001,90.383,424.083,404.153,610.498,511.234
2000,346.073,313.813,264.886,229.750,749.252,678.855,912.086,878.838
5000,776.963,703.672,698.744,603.724,1657.283,1514.005,2411.339,2156.942
10000,1636.739,1476.006,1498.791,1379.039,2918.213,2812.303,3620.209,3504.243
30000,3738.494,3406.534,3710.148,3202.184,6402.702,5834.265,9152.116,7791.630
