10,18.235,17.683,12.703,12.699,47.632,49.470,154.097,136.977
30,20.028,19.179,14.597,14.560,47.456,44.845,139.962,135.192
50,24.476,22.431,16.533,16.410,69.900,61.661,175.243,106.906
80,27.187,26.419,19.349,19.251,77.175,73.888,129.683,118.233
200,41.963,40.614,29.977,31.153,105.964,93.966,200.269,146.209
1000,106.441,104.844,86.897,86.142,226.303,216.285,352.819,385.536
2000,253.883,245.541,192.674,192.652,634.812,640.474,912.135,922.538
5000,879.311,686.373,492.547,480.294,1987.127,1777.334,8661.860,2186.122
10000,1762.553,1607.377,1602.665,1494.917,3853.362,3312.620,6612.929,4168.505
30000,3677.315,3577.237,3526.683,3495.923,6534.764,6153.472,7233.280,6760.788
