10,15.791,15.876,12.702,12.727,41.375,40.476,65.486,65.935
30,17.452,17.311,14.594,14.578,39.451,38.401,59.508,62.211
50,20.557,20.302,16.912,16.800,42.007,44.582,78.351,63.485
80,24.076,24.284,19.426,19.654,50.412,52.291,72.048,75.094
200,36.594,36.361,29.686,29.684,69.869,74.769,97.229,90.240
1000,115.515,113.849,87.952,86.338,320.232,275.326,544.901,516.421
2000,297.140,295.973,207.795,202.118,686.754,677.718,784.606,945.276
5000,681.606,668.459,586.501,549.077,1462.884,1503.690,2161.939,2109.007
10000,1402.333,1397.945,1311.492,1320.252,2620.376,2726.991,3627.499,3564.856
30000,3323.585,3236.772,3185.497,3117.821,5780.732,5696.263,7724.032,7565.482
