10,12.152,12.156,12.667,12.678,14.423,14.407,18.621,19.360
30,14.638,14.655,14.607,14.608,19.575,19.610,25.489,25.411
50,17.507,17.545,16.611,16.586,24.113,24.541,28.893,29.045
80,21.343,21.427,20.067,19.902,32.347,31.654,45.608,39.913
200,34.501,34.182,31.530,31.183,59.378,60.415,69.888,69.687
1000,112.113,111.791,96.945,96.545,225.313,218.372,302.878,297.895
2000,266.464,263.026,237.432,234.155,526.429,500.281,707.791,699.121
5000,633.754,628.553,529.624,527.914,1447.729,1411.936,2214.554,2213.412
10000,1362.796,1356.685,1199.617,1201.197,2562.755,2595.543,3442.878,3441.656
30000,3055.400,3046.187,2845.489,2884.854,5645.347,5379.654,6029.587,6031.535
